FirstName,Phone,Notes
John,1234567890,Interested in product A
Jane,9876543210,Follow up next week
Mike,5555555555,Hot lead - needs immediate attention
Sarah,4444444444,Called twice already
Tom,3333333333,Email sent with pricing
Alice,2222222222,Meeting scheduled for next Monday
Bob,1111111111,Demo requested for enterprise plan
Carol,9999999999,Price inquiry for bulk order
David,8888888888,Needs callback before 5 PM
Emma,7777777777,Ready to buy - send contract
Frank,6666666666,Referral from existing customer
Grace,5551234567,Interested in premium features
Henry,5559876543,Budget approved
Ivy,5555551234,Technical questions about integration
Jack,5555559876,Wants to schedule a call
Kate,5554443333,Competitor comparison needed
Leo,5553332222,Free trial user - converting
Mary,5552221111,Asked about payment plans
Nancy,5551119999,Needs custom solution
Oscar,5559998888,Enterprise inquiry
